Movie Name,Director,Release Date,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast
American Beauty,Sam Mendes,1 October 1999 (USA),2h 2min,USA,English,8.3,Drama,"1,009,925",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley"
Your Name.,Makoto Shinkai,7 April 2017 (USA),1h 46min,Japan,Japanese,8.4,Animation,"148,738","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita"
Coco,Lee Unkrich,22 November 2017 (USA),1h 45min,USA,English,8.4,Animation,"306,320","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt"
Braveheart,Mel Gibson,24 May 1995 (USA),2h 58min,USA,English,8.3,Biography,"909,420","When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.","James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo"
Das Boot,Wolfgang Petersen,10 February 1982 (USA),2h 29min,West Germany,German,8.3,Adventure,"216,090","The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.","J√ºrgen Prochnow, Herbert Gr√∂nemeyer, Klaus Wennemann, Hubertus Bengsch"
3 Idiots,Rajkumar Hirani,25 December 2009 (India),2h 50min,Hindi,See more,8.4,Comedy,"311,198","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor Khan"
Star Wars: Episode VI - Return of the Jedi,Richard Marquand,25 May 1983 (USA),2h 11min,USA,English,8.3,Action,"883,414","After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
Taare Zameen Par,Aamir Khan,21 December 2007 (India),2h 45min,India,Hindi,8.4,Drama,"148,948","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Darsheel Safary, Aamir Khan, Tisca Chopra"
Toy Story,John Lasseter,22 November 1995 (USA),1h 21min,USA,English,8.3,Animation,"823,548",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty"
Reservoir Dogs,Quentin Tarantino,2 September 1992 (France),1h 39min,USA,English,8.3,Crime,"854,184","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
Amadeus,Milos Forman,19 September 1984 (USA),2h 40min,USA,English,8.3,Biography,"345,481","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"
Inglourious Basterds,Quentin Tarantino,21 August 2009 (USA),2h 33min,Germany,English,8.3,Adventure,"1,163,084","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Brad Pitt, M√©lanie Laurent, Christoph Waltz, Eli Roth"
Good Will Hunting,Gus Van Sant,9 January 1998 (USA),2h 6min,USA,English,8.3,Drama,"790,687","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Matt Damon, Ben Affleck, Stellan Skarsg√•rd, John Mighton"
M,Fritz Lang,31 August 1931 (Sweden),1h 39min,German,See more,8.3,Crime,"132,159","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.","Peter Lorre, Ellen Widmann, Inge Landgut"
Dangal,Nitesh Tiwari,21 December 2016 (USA),2h 41min,India,Hindi,8.4,Action,"131,890",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra"
Requiem for a Dream,Darren Aronofsky,15 December 2000 (USA),1h 42min,English,See more,8.3,Drama,"717,123",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
2001: A Space Odyssey,Stanley Kubrick,12 May 1968 (UK),2h 29min,UK,English,8.3,Adventure,"558,616","After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter"
Vertigo,Alfred Hitchcock,22 May 1958 (UK),2h 8min,English,See more,8.3,Mystery,"331,116",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore"
Eternal Sunshine of the Spotless Mind,Michel Gondry,19 March 2004 (USA),1h 48min,USA,English,8.3,Drama,"844,981","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Jim Carrey, Kate Winslet, Gerry Robert Byrne, Elijah Wood"
Citizen Kane,Orson Welles,5 September 1941 (USA),1h 59min,USA,English,8.3,Drama,"372,177","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.","Joseph Cotten, Dorothy Comingore, Agnes Moorehead, Ruth Warrick"
The Hunt,Thomas Vinterberg,10 January 2013 (Denmark),1h 55min,Denmark,Danish,8.3,Drama,"251,163","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstr√∏m"
Full Metal Jacket,Stanley Kubrick,10 July 1987 (USA),1h 56min,English,See more,8.3,Drama,"627,211",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey"
North by Northwest,Alfred Hitchcock,26 September 1959 (Japan),2h 16min,English,See more,8.3,Adventure,"278,923",A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis"
A Clockwork Orange,Stanley Kubrick,2 February 1972 (USA),2h 16min,English,See more,8.3,Crime,"707,996","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke"
Snatch,Guy Ritchie,19 January 2001 (USA),1h 42min,UK,English,8.3,Comedy,"734,941","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt"
The Kid,Charles Chaplin,6 February 1921 (USA),1h 8min,English,See more,8.3,Comedy,"101,743","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.","Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin"
Am√©lie,Jean-Pierre Jeunet,8 February 2002 (USA),2h 2min,France,French,8.3,Comedy,"665,920","Am√©lie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta"
Bicycle Thieves,Vittorio De Sica,13 December 1949 (USA),1h 29min,Italian,See more,8.3,Drama,"132,376","In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.","Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri"
Scarface,Brian De Palma,9 December 1983 (USA),2h 50min,English,See more,8.3,Crime,"682,982","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio"
Singin' in the Rain,Stanley Donen,11 April 1952 (USA),1h 43min,English,See more,8.3,Comedy,"202,828",A silent film production company and cast make a difficult transition to sound.,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen"
Taxi Driver,Martin Scorsese,9 February 1976 (USA),1h 54min,English,See more,8.3,Crime,"661,883","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.","Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito"
Lawrence of Arabia,David Lean,11 December 1962 (UK),3h 48min,UK,English,8.3,Adventure,"249,150","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
Toy Story 3,Lee Unkrich,18 June 2010 (USA),1h 43min,USA,English,8.3,Animation,"707,845","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty"
The Sting,George Roy Hill,25 December 1973 (USA),2h 9min,English,See more,8.3,Comedy,"225,876",Two grifters team up to pull off the ultimate con.,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning"
Metropolis,Fritz Lang,13 March 1927 (USA),2h 33min,Germany,German,8.3,Drama,"148,525","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.","Alfred Abel, Gustav Fr√∂hlich, Rudolf Klein-Rogge, Fritz Rasp"
For a Few Dollars More,Sergio Leone,10 May 1967 (USA),2h 12min,Italian,See more,8.3,Western,"213,312",Two bounty hunters with the same intentions team up to track down a Western outlaw.,"Clint Eastwood, Lee Van Cleef, Gian Maria Volont√®, Mario Brega"
Ikiru,Akira Kurosawa,25 March 1956 (USA),2h 23min,Japanese,See more,8.3,Drama,"60,676",A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,"Takashi Shimura, Shin'ichi Himori, Haruo Tanaka, Minoru Chiaki"
A Separation,Asghar Farhadi,16 March 2011 (Iran),2h 3min,Iran,Persian,8.3,Drama,"203,307",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini"
Double Indemnity,Billy Wilder,6 July 1944 (USA),1h 47min,USA,English,8.3,Crime,"132,102",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall"
To Kill a Mockingbird,Robert Mulligan,16 March 1963 (USA),2h 9min,USA,English,8.3,Crime,"278,430","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.","Gregory Peck, John Megna, Frank Overton, Rosemary Murphy"
Capharna√ºm,Nadine Labaki,20 September 2018 (Lebanon),2h 6min,Lebanon,Arabic,8.4,Drama,"31,832","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole"
Indiana Jones and the Last Crusade,Steven Spielberg,24 May 1989 (USA),2h 7min,USA,English,8.2,Action,"649,210","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.","Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody"
The Apartment,Billy Wilder,16 September 1960 (France),2h 5min,English,See more,8.3,Comedy,"149,088","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston"
Up,Pete Docter,29 May 2009 (USA),1h 36min,USA,English,8.2,Animation,"870,191","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Edward Asner, Jordan Nagai, John Ratzenberger"
L.A. Confidential,Curtis Hanson,19 September 1997 (USA),2h 18min,USA,English,8.2,Crime,"503,268","As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell"
Incendies,Denis Villeneuve,12 January 2011 (France),2h 11min,Canada,French,8.3,Drama,"129,461",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Mustafa Kamel, Hussein Sami, R√©my Girard, M√©lissa D√©sormeaux-Poulin"
Monty Python and the Holy Grail,Terry Gilliam,25 May 1975 (UK),1h 31min,English,See more,8.2,Adventure,"472,399","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam"
Heat,Michael Mann,15 December 1995 (USA),2h 50min,USA,English,8.2,Crime,"536,187",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"Al Pacino, Robert De Niro, Val Kilmer"
Rash√¥mon,Akira Kurosawa,26 December 1951 (USA),1h 28min,Japanese,See more,8.2,Crime,"139,682","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Toshirô Mifune, Machiko Kyô, Masayuki Mori"
Die Hard,John McTiernan,20 July 1988 (USA),2h 12min,USA,English,8.2,Action,"735,587",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason"
Batman Begins,Christopher Nolan,15 June 2005 (USA),2h 20min,USA,English,8.2,Action,"1,225,799","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes"
Yojimbo,Akira Kurosawa,13 September 1961 (USA),1h 50min,Japanese,See more,8.2,Action,"101,332",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Toshir√¥ Mifune, Tatsuya Nakadai, Y√¥ko Tsukasa, Isuzu Yamada"
Unforgiven,Clint Eastwood,7 August 1992 (USA),2h 10min,USA,English,8.2,Drama,"349,751","Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett).","Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris"
Green Book,Peter Farrelly,16 November 2018 (USA),2h 10min,USA,English,8.2,Biography,"261,325",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Viggo Mortensen, Mahershala Ali, Linda Cardellini"
Downfall,Oliver Hirschbiegel,8 April 2005 (USA),2h 36min,Germany,German,8.2,Biography,"312,273","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes"
Children of Heaven,Majid Majidi,22 January 1999 (USA),1h 29min,Iran,Persian,8.3,Drama,"56,552","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi"
Some Like It Hot,Billy Wilder,19 March 1959 (USA),2h 1min,English,See more,8.2,Comedy,"226,701","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft"
Howl's Moving Castle,Hayao Miyazaki,17 June 2005 (USA),1h 59min,Japan,Japanese,8.2,Animation,"291,768","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Chieko Baish√¥, Takuya Kimura, Akihiro Miwa, Tatsuya Gash√ªin"
The Great Escape,John Sturges,4 July 1963 (USA),2h 52min,English,See more,8.2,Adventure,"209,468",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Steve McQueen, James Garner, Richard Attenborough, James Donald"
My Neighbor Totoro,Hayao Miyazaki,13 July 1990 (USA),1h 26min,Japan,Japanese,8.2,Animation,"247,339","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto"
Ran,Akira Kurosawa,1 June 1985 (Japan),2h 42min,Japanese,See more,8.2,Action,"102,297","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
A Beautiful Mind,Ron Howard,4 January 2002 (USA),2h 15min,USA,English,8.2,Biography,"790,365","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer"
All About Eve,Joseph L. Mankiewicz,27 October 1950 (USA),2h 18min,USA,English,8.2,Drama,"112,268",An ing√©nue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm"
Pan's Labyrinth,Guillermo del Toro,19 January 2007 (USA),1h 58min,Mexico,Spanish,8.2,Drama,"584,144","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Ivana Baquero, Sergi L√≥pez, Maribel Verd√∫, Doug Jones"
Come and See,Elem Klimov,17 October 1985 (Hungary),2h 22min,Belarusian,See more,8.3,Drama,"45,843","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas"
Casino,Martin Scorsese,22 November 1995 (USA),2h 58min,English,See more,8.2,Crime,"425,792","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.","Robert De Niro, Sharon Stone, Joe Pesci, James Woods"
The Secret in Their Eyes,Juan Jos√© Campanella,21 May 2010 (USA),2h 9min,Argentina,Spanish,8.2,Drama,"177,530",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Soledad Villamil, Ricardo Dar√≠n, Carla Quevedo, Pablo Rago"
Raging Bull,Martin Scorsese,19 December 1980 (USA),2h 9min,English,See more,8.2,Biography,"296,972","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent"
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,28 August 1998 (UK),1h 47min,UK,English,8.2,Comedy,"502,879","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.","Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham"
The Wolf of Wall Street,Martin Scorsese,25 December 2013 (USA),3h,USA,English,8.2,Biography,"1,070,718","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey"
The Treasure of the Sierra Madre,John Huston,24 January 1948 (USA),2h 6min,English,See more,8.2,Adventure,"106,160",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett"
Judgment at Nuremberg,Stanley Kramer,18 December 1961 (Sweden),2h 59min,English,See more,8.2,Drama,"63,584","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich"
Babam ve Oglum,√áagan Irmak,18 November 2005 (Turkey),1h 48min,Turkey,Turkish,8.3,Drama,"70,846",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,"Çetin Tekindor, Fikret Kuskan, Hümeyra"
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,1 December 2017 (USA),1h 55min,UK,English,8.2,Comedy,"368,394",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Frances McDormand, Woody Harrelson, Sam Rockwell "
Chinatown,Roman Polanski,20 June 1974 (USA),2h 10min,English,See more,8.2,Drama,"272,734","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.","Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez"
The Gold Rush,Charles Chaplin,13 July 1925 (Brazil),1h 35min,English,See more,8.2,Adventure,"92,046",A prospector goes to the Klondike in search of gold and finds it and more.,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman"
Dial M for Murder,Alfred Hitchcock,29 May 1954 (USA),1h 45min,English,See more,8.2,Crime,"144,416",A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.,"Ray Milland, Grace Kelly, Robert Cummings, John Williams"
There Will Be Blood,Paul Thomas Anderson,25 January 2008 (USA),2h 38min,USA,English,8.1,Drama,"475,708","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer"
V for Vendetta,James McTeigue,17 March 2006 (USA),2h 12min,USA,English,8.2,Action,"971,552","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry"
Inside Out,Pete Docter,19 June 2015 (USA),1h 35min,USA,English,8.2,Animation,"556,685","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader"
The Seventh Seal,Ingmar Bergman,13 October 1958 (USA),1h 36min,Swedish,See more,8.2,Drama,"147,958","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Gunnar Bj√∂rnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow"
Drishyam,Jeethu Joseph,19 December 2013 (India),2h 40min,Malayalam,See more,8.6,Crime,"26,989",A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor"
Warrior,Gavin O'Connor,9 September 2011 (USA),2h 20min,USA,English,8.2,Drama,"411,366","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison"
No Country for Old Men,Ethan Coen,21 November 2007 (USA),2h 2min,USA,English,8.1,Crime,"786,898",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson"
Trainspotting,Danny Boyle,9 August 1996 (USA),1h 33min,UK,English,8.1,Drama,"601,588","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd"
Room,Lenny Abrahamson,22 January 2016 (USA),1h 58min,Ireland,English,8.1,Drama,"330,157","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Brie Larson, Jacob Tremblay, Sean Bridgers"
The Elephant Man,David Lynch,10 October 1980 (USA),2h 4min,English,See more,8.1,Biography,"204,759","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous fa√ßade, there is revealed a person of kindness, intelligence and sophistication.","Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud"
The Sixth Sense,M. Night Shyamalan,6 August 1999 (USA),1h 47min,English,See more,8.1,Drama,"862,111",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams"
Shutter Island,Martin Scorsese,19 February 2010 (USA),2h 18min,English,See more,8.1,Mystery,"1,037,087","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow"
The Thing,John Carpenter,25 June 1982 (USA),1h 49min,English,See more,8.1,Horror,"342,114",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon"
Gone with the Wind,Victor Fleming,17 January 1940 (USA),3h 58min,USA,English,8.1,Drama,"269,820",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes"
Andhadhun,Sriram Raghavan,5 October 2018 (USA),2h 19min,India,Hindi,8.4,Crime,"52,123","A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Ayushmann Khurrana, Tabu, Radhika Apte"
The Bridge on the River Kwai,David Lean,14 December 1957 (USA),2h 41min,English,See more,8.1,Adventure,"190,150","British POWs build a railway bridge across the river Kwai for their Japanese captors, oblivious of the Allies' plans to destroy it.","William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa"
Blade Runner,Ridley Scott,25 June 1982 (USA),1h 57min,USA,English,8.1,Action,"645,437","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos"
On the Waterfront,Elia Kazan,22 June 1954 (Japan),1h 48min,USA,English,8.1,Crime,"131,796",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger"
The Third Man,Carol Reed,12 October 1949 (France),1h 33min,English,See more,8.1,Film-Noir,"148,792","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard"
Jurassic Park,Steven Spielberg,11 June 1993 (USA),2h 7min,USA,English,8.1,Action,"803,216",A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough"
Finding Nemo,Andrew Stanton,30 May 2003 (USA),1h 40min,USA,English,8.1,Animation,"890,369","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe"
Wild Strawberries,Ingmar Bergman,22 June 1959 (USA),1h 31min,Swedish,See more,8.2,Drama,"86,747","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Victor Sj√∂str√∂m, Bibi Andersson, Ingrid Thulin, Gunnar Bj√∂rnstrand"
Fargo,Joel Coen,5 April 1996 (USA),1h 38min,USA,English,8.1,Crime,"574,724",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudr√ºd"
