Movie Name,Director,Release Date,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast
The Shawshank Redemption,Frank Darabont,14 October 1994 (USA),2h 22min,USA,English,9.3,Drama,"2,161,135","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
The Godfather,Francis Ford Coppola,24 March 1972 (USA),2h 55min,USA,English,9.2,Crime,"1,483,236",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano"
The Godfather: Part II,Francis Ford Coppola,20 December 1974 (USA),3h 22min,USA,English,9,Crime,"1,032,840","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino, Robert Duvall, Diane Keaton, Robert De Niro"
The Dark Knight,Christopher Nolan,18 July 2008 (USA),2h 32min,USA,English,9,Action,"2,136,058","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
12 Angry Men,Sidney Lumet,10 April 1957 (USA),1h 36min,USA,English,8.9,Drama,"618,106",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall"
Schindler's List,Steven Spielberg,4 February 1994 (USA),3h 15min,USA,English,8.9,Biography,"1,121,048","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall"
The Lord of the Rings: The Return of the King,Peter Jackson,17 December 2003 (USA),3h 21min,New Zealand,English,8.9,Adventure,"1,534,570",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Noel Appleby, Ali Astin, Sean Astin, David Aston"
Pulp Fiction,Quentin Tarantino,14 October 1994 (USA),2h 34min,USA,English,8.9,Crime,"1,696,342","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Tim Roth, Amanda Plummer, Laura Lovelace, John Travolta"
"The Good, the Bad and the Ugly",Sergio Leone,29 December 1967 (USA),2h 58min,Italian,See more,8.8,Western,"641,326",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffr√®"
Fight Club,David Fincher,15 October 1999 (USA),2h 19min,USA,English,8.8,Drama,"1,726,585","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.","Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,19 December 2001 (USA),2h 58min,New Zealand,English,8.8,Adventure,"1,549,833",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Alan Howard, Noel Appleby, Sean Astin, Sala Baker"
Forrest Gump,Robert Zemeckis,6 July 1994 (USA),2h 22min,USA,English,8.8,Drama,"1,663,864","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.","Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys"
Inception,Christopher Nolan,16 July 2010 (USA),2h 28min,USA,English,8.8,Action,"1,894,237",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy"
Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,20 June 1980 (USA),2h 4min,USA,English,8.7,Action,"1,079,509","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
The Lord of the Rings: The Two Towers,Peter Jackson,18 December 2002 (USA),2h 59min,New Zealand,English,8.7,Adventure,"1,388,087","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Bruce Allpress, Sean Astin, John Bach, Sala Baker"
The Matrix,Lana Wachowski,31 March 1999 (USA),2h 16min,USA,English,8.7,Action,"1,555,467",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
Joker,Todd Phillips,4 October 2019 (USA),2h 2min,USA,English,8.8,Crime,"478,960","In Gotham City, mentally-troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: ""The Joker"".","Joaquin Phoenix, Robert De Niro, Zazie Beetz "
One Flew Over the Cuckoo's Nest,Milos Forman,19 November 1975 (USA),2h 13min,English,See more,8.7,Drama,"853,323","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown"
Goodfellas,Martin Scorsese,21 September 1990 (USA),2h 26min,USA,English,8.7,Biography,"934,442","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
Seven Samurai,Akira Kurosawa,19 November 1956 (USA),3h 27min,Japanese,See more,8.6,Action,"292,435",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"Toshir√¥ Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
Se7en,David Fincher,22 September 1995 (USA),2h 7min,USA,English,8.6,Crime,"1,328,357","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Morgan Freeman, Andrew Kevin Walker, Kevin Spacey, Daniel Zacapa"
City of God,Fernando Meirelles,13 February 2004 (USA),2h 10min,Brazil,Portuguese,8.6,Crime,"659,650","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva"
Life Is Beautiful,Roberto Benigni,12 February 1999 (USA),1h 56min,Italy,Italian,8.6,Comedy,"571,205","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
The Silence of the Lambs,Jonathan Demme,14 February 1991 (USA),1h 58min,USA,English,8.6,Crime,"1,170,635","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz"
It's a Wonderful Life,Frank Capra,7 January 1947 (USA),2h 10min,English,See more,8.6,Drama,"366,991",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
Star Wars: Episode IV - A New Hope,George Lucas,25 May 1977 (USA),2h 1min,USA,English,8.6,Action,"1,148,066","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing"
Saving Private Ryan,Steven Spielberg,24 July 1998 (USA),2h 49min,USA,English,8.6,Drama,"1,144,559","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper"
Spirited Away,Hayao Miyazaki,28 March 2003 (USA),2h 5min,Japan,Japanese,8.6,Animation,"577,500","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Nait√¥"
The Green Mile,Frank Darabont,10 December 1999 (USA),3h 9min,USA,English,8.6,Crime,"1,051,010","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt"
L√©on: The Professional,Luc Besson,18 November 1994 (USA),1h 50min,English,See more,8.5,Action,"956,037","Mathilda, a 12-year-old girl, is reluctantly taken in by L√©on, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his prot√©g√©e and learns the assassin's trade.","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
Interstellar,Christopher Nolan,7 November 2014 (USA),2h 49min,USA,English,8.6,Adventure,"1,349,389",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow"
Harakiri,Masaki Kobayashi,4 August 1964 (USA),2h 13min,Japanese,See more,8.7,Drama,"27,972","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Tatsuya Nakadai, Akira Ishihama, Shima Iwashita  |"
The Usual Suspects,Bryan Singer,15 September 1995 (USA),1h 46min,USA,English,8.5,Crime,"929,054","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak"
The Lion King,Roger Allers,24 June 1994 (USA),1h 28min,USA,English,8.5,Animation,"872,478","A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.","Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings"
American History X,Tony Kaye,20 November 1998 (USA),1h 59min,USA,English,8.5,Drama,"974,478",A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
Parasite,Bong Joon Ho,8 November 2019 (USA),2h 12min,South Korea,Korean,8.6,Comedy,"77,962","All unemployed, Ki-taek and his family take peculiar interest in the wealthy and glamorous Parks, as they ingratiate themselves into their lives and get entangled in an unexpected incident.","Kang-ho Song, Sun-kyun Lee, Yeo-jeong Jo "
Back to the Future,Robert Zemeckis,3 July 1985 (USA),1h 56min,USA,English,8.5,Adventure,"966,217","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
The Pianist,Roman Polanski,28 March 2003 (USA),2h 30min,UK,English,8.5,Biography,"665,756",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard"
Terminator 2: Judgment Day,James Cameron,3 July 1991 (USA),2h 17min,USA,English,8.5,Action,"935,649","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
Modern Times,Charles Chaplin,25 February 1936 (USA),1h 27min,English,See more,8.5,Comedy,"198,161",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford"
Psycho,Alfred Hitchcock,8 September 1960 (USA),1h 49min,English,See more,8.5,Horror,"555,675","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","Anthony Perkins, Vera Miles, John Gavin, Janet Leigh"
The Intouchables,Olivier Nakache,2 November 2011 (France),1h 52min,France,French,8.5,Biography,"698,893","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Fran√ßois Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
Gladiator,Ridley Scott,5 May 2000 (USA),2h 35min,USA,English,8.5,Action,"1,247,567",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
City Lights,Charles Chaplin,7 March 1931 (USA),1h 27min,English,See more,8.5,Comedy,"152,850","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia"
The Departed,Martin Scorsese,6 October 2006 (USA),2h 31min,USA,English,8.5,Crime,"1,104,756",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
Whiplash,Damien Chazelle,15 October 2014 (Philippines),1h 46min,USA,English,8.5,Drama,"642,467",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist"
