Movie Name,Director,Cast,Plot,Genre
Catch Me If You Can,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",Biography
Into the Wild,Sean Penn,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Adventure
Cool Hand Luke,Stuart Rosenberg,"Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Crime
12 Years a Slave,Steve McQueen,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",Biography
The Wages of Fear,Henri-Georges Clouzot,"Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Adventure
Prisoners,Denis Villeneuve,"Hugh Jackman, Jake Gyllenhaal, Viola Davis ","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",Crime
Network,Sidney Lumet,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Drama
Monty Python's Life of Brian,Terry Jones,"Graham Chapman, John Cleese, Michael Palin","Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy
Stand by Me,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell","After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.",Adventure
Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",Action
Platoon,Oliver Stone,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker",A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,Drama
The Red Shoes,Michael Powell,"Anton Walbrook, Marius Goring, Moira Shearer",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Drama
The Passion of Joan of Arc,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, Andr√© Berley, Maurice Schutz","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Biography
Million Dollar Baby,Clint Eastwood,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",A determined woman works with a hardened boxing trainer to become a professional.,Drama
Rang De Basanti,Rakeysh Omprakash Mehra,"Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Comedy
Rush,Ron Howard,"Chris Hemsworth, Daniel Br√ºhl, Olivia Wilde, Alexandra Maria Lara",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Biography
Hachi: A Dog's Tale,Lasse Hallstr√∂m,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",A college professor bonds with an abandoned dog he takes into his home.,Drama
Barry Lyndon,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Kr√ºger",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Adventure
Logan,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Action
Andrei Rublev,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Biography
Ben-Hur,William Wyler,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",Adventure
Nausica√§ of the Valley of the Wind,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura, Hisako Ky√¥da, Gor√¥ Naya",Warrior and pacifist Princess Nausica√§ desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Animation
The 400 Blows,Fran√ßois Truffaut,"Jean-Pierre L√©aud, Claire Maurier, Albert R√©my, Guy Decomble","A young boy, left without attention, delves into a life of petty crime.",Crime
Hotel Rwanda,Terry George,"Don Cheadle, Xolani Mali, Desmond Dube, Hakeem Kae-Kazim",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,Biography
Amores Perros,Alejandro G. I√±√°rritu,"Emilio Echevarr√≠a, Gael Garc√≠a Bernal, Goya Toledo, √Ålvaro Guerrero","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Drama
Harry Potter and the Deathly Hallows: Part 2,David Yates,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) search for Voldemort's (Ralph Fiennes') remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Adventure
Spotlight,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",Biography
Dead Poets Society,Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke",English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,Comedy
Ace in the Hole,Billy Wilder,"Kirk Douglas, Jan Sterling, Robert Arthur ","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Drama
White Heat,Raoul Walsh,"James Cagney, Virginia Mayo, Edmond O'Brien",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Action
Rebecca,Alfred Hitchcock,"Laurence Olivier, Joan Fontaine, George Sanders",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Drama
Rocky,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,Drama
"Monsters, Inc.",Pete Docter,"John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",Animation
It Happened One Night,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,Comedy
The Handmaiden,Chan-wook Park,"Min-hee Kim, Jung-woo Ha, Jin-woong Cho","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",Drama
La Haine,Mathieu Kassovitz,"Vincent Cassel, Hubert Kound√©, Sa√Ød Taghmaoui, Abdel Ahmed Ghili",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Crime
Gangs of Wasseypur,Anurag Kashyap,"Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Action
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,"Cary Elwes, Mandy Patinkin, Robin Wright",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Adventure
The Princess Bride,Rob Reiner,"Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Adventure
PK,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,Comedy
Butch Cassidy and the Sundance Kid,George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",Biography
Before Sunset,Richard Linklater,"Ethan Hawke, Julie Delpy, Vernon Dobtcheff","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Drama
The Help,Tate Taylor,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama
Munna Bhai M.B.B.S.,Rajkumar Hirani,"Sunil Dutt, Sanjay Dutt, Arshad Warsi, Gracy Singh",A gangster sets out to fulfill his father's dream of becoming a doctor.,Comedy
The Terminator,James Cameron,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield","In 1984, a human soldier is tasked to stop an indestructible cyborg killing machine, both sent from 2029, from executing a young woman, whose unborn son is the key to humanity's future salvation.",Action
Akira,Katsuhiro √îtomo,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,Animation
In the Mood for Love,Kar-Wai Wong,"Maggie Cheung, Tony Chiu-Wai Leung, Ping Lam Siu, Tung Cho 'Joe' Cheung","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Drama
"Paris, Texas",Wim Wenders,"Harry Dean Stanton, Sam Berry, Bernhard Wicki, Dean Stockwell","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Drama
Aladdin,Ron Clements,"Scott Weinger, Robin Williams, Linda Larkin",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Animation
Swades,Ashutosh Gowariker,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Drama
Guardians of the Galaxy,James Gunn,"Chris Pratt, Vin Diesel, Bradley Cooper",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Action
Infernal Affairs,Andrew Lau,"Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, Eric Tsang","A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Crime
The Battle of Algiers,Gillo Pontecorvo,"Jean Martin, Yacef Saadi, Brahim Hadjadj, Samia Kerbash","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Drama
La leggenda del pianista sull'oceano,Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Drama
Castle in the Sky,Hayao Miyazaki,"Anna Paquin, James Van Der Beek, Cloris Leachman",A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Animation
