Movie Name,Director,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast,Release Year
Ran,Akira Kurosawa,162,Japan,Japanese,8.2,Action,"102,297","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu",1985
A Beautiful Mind,Ron Howard,135,USA,English,8.2,Biography,"790,365","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",2002
All About Eve,Joseph L. Mankiewicz,138,USA,English,8.2,Drama,"112,268",An ing√©nue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",1950
Pan's Labyrinth,Guillermo del Toro,118,Mexico,Spanish,8.2,Drama,"584,144","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Ivana Baquero, Sergi L√≥pez, Maribel Verd√∫, Doug Jones",2007
Come and See,Elem Klimov,142,Soviet Union,Belarusian,8.3,Drama,"45,843","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas",1985
Casino,Martin Scorsese,178,USA,English,8.2,Crime,"425,792","A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.","Robert De Niro, Sharon Stone, Joe Pesci, James Woods",1995
The Secret in Their Eyes,Juan Jos√© Campanella,129,Argentina,Spanish,8.2,Drama,"177,530",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,"Soledad Villamil, Ricardo Dar√≠n, Carla Quevedo, Pablo Rago",2010
Raging Bull,Martin Scorsese,129,USA,English,8.2,Biography,"296,972","The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent",1980
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,107,UK,English,8.2,Comedy,"502,879","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.","Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",1998
The Wolf of Wall Street,Martin Scorsese,180,USA,English,8.2,Biography,"1,070,718","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",2013
The Treasure of the Sierra Madre,John Huston,126,USA,English,8.2,Adventure,"106,160",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett",1948
Judgment at Nuremberg,Stanley Kramer,179,USA,English,8.2,Drama,"63,584","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.","Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich",1961
Babam ve Oglum,√áagan Irmak,108,Turkey,Turkish,8.3,Drama,"70,846",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,"Çetin Tekindor, Fikret Kuskan, Hümeyra",2005
"Three Billboards Outside Ebbing, Missouri",Martin McDonagh,115,UK,English,8.2,Comedy,"368,394",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Frances McDormand, Woody Harrelson, Sam Rockwell ",2017
Chinatown,Roman Polanski,130,USA,English,8.2,Drama,"272,734","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.","Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez",1974
The Gold Rush,Charles Chaplin,95,USA,English,8.2,Adventure,"92,046",A prospector goes to the Klondike in search of gold and finds it and more.,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman",1925
Dial M for Murder,Alfred Hitchcock,105,USA,English,8.2,Crime,"144,416",A tennis player frames his unfaithful wife for first-degree murder after she inadvertently hinders his plan to kill her.,"Ray Milland, Grace Kelly, Robert Cummings, John Williams",1954
There Will Be Blood,Paul Thomas Anderson,158,USA,English,8.1,Drama,"475,708","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer",2008
V for Vendetta,James McTeigue,132,USA,English,8.2,Action,"971,552","In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.","Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry",2006
Inside Out,Pete Docter,95,USA,English,8.2,Animation,"556,685","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader",2015
The Seventh Seal,Ingmar Bergman,96,Sweden,Swedish,8.2,Drama,"147,958","A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Gunnar Bj√∂rnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow",1958
Drishyam,Jeethu Joseph,160,Malayalam,Malayalam,8.6,Crime,"26,989",A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor",2013
Warrior,Gavin O'Connor,140,USA,English,8.2,Drama,"411,366","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison",2011
No Country for Old Men,Ethan Coen,122,USA,English,8.1,Crime,"786,898",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",2007
Trainspotting,Danny Boyle,93,UK,English,8.1,Drama,"601,588","Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.","Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd",1996
Room,Lenny Abrahamson,118,Ireland,English,8.1,Drama,"330,157","Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Brie Larson, Jacob Tremblay, Sean Bridgers",2016
The Elephant Man,David Lynch,124,USA,English,8.1,Biography,"204,759","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous fa√ßade, there is revealed a person of kindness, intelligence and sophistication.","Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud",1980
The Sixth Sense,M. Night Shyamalan,107,USA,English,8.1,Drama,"862,111",A boy who communicates with spirits seeks the help of a disheartened child psychologist.,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",1999
Shutter Island,Martin Scorsese,138,USA,English,8.1,Mystery,"1,037,087","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",2010
The Thing,John Carpenter,109,USA,English,8.1,Horror,"342,114",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon",1982
Gone with the Wind,Victor Fleming,238,USA,English,8.1,Drama,"269,820",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes",1940
Andhadhun,Sriram Raghavan,139,India,Hindi,8.4,Crime,"52,123","A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Ayushmann Khurrana, Tabu, Radhika Apte",2018
The Bridge on the River Kwai,David Lean,161,USA,English,8.1,Adventure,"190,150","British POWs build a railway bridge across the river Kwai for their Japanese captors, oblivious of the Allies' plans to destroy it.","William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa",1957
Blade Runner,Ridley Scott,117,USA,English,8.1,Action,"645,437","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",1982
On the Waterfront,Elia Kazan,108,USA,English,8.1,Crime,"131,796",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",1954
The Third Man,Carol Reed,93,USA,English,8.1,Film-Noir,"148,792","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard",1949
Jurassic Park,Steven Spielberg,127,USA,English,8.1,Action,"803,216",A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",1993
Finding Nemo,Andrew Stanton,100,USA,English,8.1,Animation,"890,369","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",2003
Wild Strawberries,Ingmar Bergman,91,Sweden,Swedish,8.2,Drama,"86,747","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Victor Sj√∂str√∂m, Bibi Andersson, Ingrid Thulin, Gunnar Bj√∂rnstrand",1959
Fargo,Joel Coen,98,USA,English,8.1,Crime,"574,724",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudr√ºd",1996
Gran Torino,Clint Eastwood,116,Germany,English,8.1,Drama,"682,816","Disgruntled Korean War veteran Walt Kowalski (Clint Eastwood) sets out to reform his neighbor, Thao Lor (Bee Vang), a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.","Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her",2009
The Bandit,Yavuz Turgul,128,Turkey,Turkish,8.3,Crime,"57,509","Baran the Bandit, released from prison after 35 years searches for vengeance and his lover.","Sener Sen, Ugur Yücel, Sermin Hürmeriç",1996
Kill Bill: Vol. 1,Quentin Tarantino,111,USA,English,8.1,Action,"932,895","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah",2003
The Deer Hunter,Michael Cimino,183,USA,English,8.1,Drama,"290,791",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,"Robert De Niro, John Cazale, John Savage, Christopher Walken",1979
Ford v Ferrari,James Mangold,152,USA,English,8.3,Action,"26,926","American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.","Matt Damon, Christian Bale, Jon Bernthal",2019
Stalker,Andrei Tarkovsky,162,Russia,Russian,8.2,Drama,"102,187",A guide leads two men through an area known as the Zone to find a room that grants wishes.,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko",1980
The Truman Show,Peter Weir,103,USA,English,8.1,Comedy,"861,951",An insurance salesman discovers his whole life is actually a reality TV show.,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone",1998
The Big Lebowski,Joel Coen,117,USA,English,8.1,Comedy,"679,682","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.","Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi",1998
Tokyo Story,Yasujir√¥ Ozu,136,Japan,Japanese,8.2,Drama,"45,744",An old couple visit their children and grandchildren in the city; but the children have little time for them.,"Chish√ª Ry√ª, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura",1972
Relatos salvajes,Dami√°n Szifron,122,Argentina,Spanish,8.1,Comedy,"156,987",Six short stories that explore the extremities of human behavior involving people in distress.,"Darío Grandinetti, María Marull, Mónica Villa",2014
Mary and Max,Adam Elliot,92,Australia,English,8.1,Animation,"154,332","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.","Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana",2009
In the Name of the Father,Jim Sheridan,133,USA,English,8.1,Biography,"145,039",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson",1994
Gone Girl,David Fincher,149,USA,English,8.1,Drama,"785,035","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",2014
Hacksaw Ridge,Mel Gibson,139,Australia,English,8.1,Biography,"384,443","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",2016
The General,Clyde Bruckman,67,USA,English,8.1,Action,"73,810","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley",1927
Sherlock Jr.,Buster Keaton,45,USA,English,8.2,Action,"35,189","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Buster Keaton, Kathryn McGuire, Joe Keaton",1924
How to Train Your Dragon,Dean DeBlois,98,USA,English,8.1,Animation,"625,845","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",2010
Mr. Smith Goes to Washington,Frank Capra,129,USA,English,8.1,Comedy,"100,258","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.","Jean Arthur, James Stewart, Claude Rains, Edward Arnold",1939
Memories of Murder,Bong Joon Ho,132,South Korea,Korean,8.1,Action,"108,066","In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song",2003
The Grand Budapest Hotel,Wes Anderson,99,Germany,English,8.1,Adventure,"650,965","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",2014
Persona,Ingmar Bergman,83,Sweden,Swedish,8.1,Drama,"90,454",A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Bj√∂rnstrand",1967
Before Sunrise,Richard Linklater,101,USA,English,8.1,Drama,"245,460","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno P√∂schl",1995
Catch Me If You Can,Steven Spielberg,141,USA,English,8.1,Biography,"745,981","A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",2002
Into the Wild,Sean Penn,148,USA,English,8.1,Adventure,"535,518","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone",2007
Cool Hand Luke,Stuart Rosenberg,127,USA,English,8.1,Crime,"151,926","A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio",1967
12 Years a Slave,Steve McQueen,134,USA,English,8.1,Biography,"592,326","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",2013
The Wages of Fear,Henri-Georges Clouzot,131,France,French,8.1,Adventure,"49,755","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Yves Montand, Charles Vanel, Folco Lulli, Peter van Eyck",1955
Prisoners,Denis Villeneuve,153,USA,English,8.1,Crime,"543,975","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Hugh Jackman, Jake Gyllenhaal, Viola Davis ",2013
Network,Sidney Lumet,121,USA,English,8.1,Drama,"135,063",A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall",1976
Monty Python's Life of Brian,Terry Jones,94,USA,English,8.1,Comedy,"342,817","Born on the original Christmas in the stable next door to Jesus, Brian of Nazareth spends his life being mistaken for a messiah.","Graham Chapman, John Cleese, Michael Palin",1979
Stand by Me,Rob Reiner,89,USA,English,8.1,Adventure,"341,335","After the death of one of his friends, a writer recounts a boyhood journey with his friends to find the body of a missing boy.","Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell",1986
Mad Max: Fury Road,George Miller,120,Australia,English,8.1,Action,"805,741","In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",2015
Platoon,Oliver Stone,120,USA,English,8.1,Drama,"358,973",A young soldier in Vietnam faces a moral crisis when confronted with the horrors of war and the duality of man.,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker",1987
The Red Shoes,Michael Powell,135,USA,English,8.2,Drama,"26,243",A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,"Anton Walbrook, Marius Goring, Moira Shearer",1948
The Passion of Joan of Arc,Carl Theodor Dreyer,114,France,French,8.2,Biography,"42,240","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Maria Falconetti, Eugene Silvain, Andr√© Berley, Maurice Schutz",1928
Million Dollar Baby,Clint Eastwood,132,USA,English,8.1,Drama,"598,110",A determined woman works with a hardened boxing trainer to become a professional.,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",2005
Rang De Basanti,Rakeysh Omprakash Mehra,167,India,Hindi,8.2,Comedy,"103,236","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.","Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor",2006
Rush,Ron Howard,123,UK,English,8.1,Biography,"402,845",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Chris Hemsworth, Daniel Br√ºhl, Olivia Wilde, Alexandra Maria Lara",2013
Hachi: A Dog's Tale,Lasse Hallstr√∂m,93,UK,English,8.1,Drama,"230,724",A college professor bonds with an abandoned dog he takes into his home.,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",2010
Barry Lyndon,Stanley Kubrick,185,USA,English,8.1,Adventure,"136,503",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Kr√ºger",1975
Logan,James Mangold,137,USA,English,8.1,Action,"586,695","In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Hugh Jackman, Patrick Stewart, Dafne Keen",2017
Andrei Rublev,Andrei Tarkovsky,205,Russia,Russian,8.2,Biography,"40,792","The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.","Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev",1973
Ben-Hur,William Wyler,212,USA,English,8.1,Adventure,"205,726","When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.","Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd",1960
Nausica√§ of the Valley of the Wind,Hayao Miyazaki,117,Japan,Japanese,8.1,Animation,"131,981",Warrior and pacifist Princess Nausica√§ desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"Sumi Shimamoto, Mahito Tsujimura, Hisako Ky√¥da, Gor√¥ Naya",1987
The 400 Blows,Fran√ßois Truffaut,99,France,French,8.1,Crime,"95,003","A young boy, left without attention, delves into a life of petty crime.","Jean-Pierre L√©aud, Claire Maurier, Albert R√©my, Guy Decomble",1959
Hotel Rwanda,Terry George,121,UK,English,8.1,Biography,"318,763",Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,"Don Cheadle, Xolani Mali, Desmond Dube, Hakeem Kae-Kazim",2005
Amores Perros,Alejandro G. I√±√°rritu,154,Mexico,Spanish,8.1,Drama,"210,719","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Emilio Echevarr√≠a, Gael Garc√≠a Bernal, Goya Toledo, √Ålvaro Guerrero",2001
Harry Potter and the Deathly Hallows: Part 2,David Yates,130,USA,English,8.1,Adventure,"708,787","Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) search for Voldemort's (Ralph Fiennes') remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe",2011
Spotlight,Tom McCarthy,129,USA,English,8.1,Biography,"378,594","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Mark Ruffalo, Michael Keaton, Rachel McAdams",2015
Dead Poets Society,Peter Weir,128,USA,English,8.1,Comedy,"383,589",English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.,"Robin Williams, Robert Sean Leonard, Ethan Hawke",1989
Ace in the Hole,Billy Wilder,111,USA,English,8.2,Drama,"26,059","A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.","Kirk Douglas, Jan Sterling, Robert Arthur ",1951
White Heat,Raoul Walsh,114,USA,English,8.2,Action,"25,939",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,"James Cagney, Virginia Mayo, Edmond O'Brien",1949
Rebecca,Alfred Hitchcock,130,USA,English,8.1,Drama,"113,498",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Laurence Olivier, Joan Fontaine, George Sanders",1940
Rocky,John G. Avildsen,120,USA,English,8.1,Drama,"484,713",A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",1976
"Monsters, Inc.",Pete Docter,92,USA,English,8.0,Animation,"760,776","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.","John Goodman, Billy Crystal, Mary Gibbs, Steve Buscemi",2001
It Happened One Night,Frank Capra,105,USA,English,8.1,Comedy,"86,801",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",1934
The Handmaiden,Chan-wook Park,145,South Korea,Korean,8.1,Drama,"86,747","A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Min-hee Kim, Jung-woo Ha, Jin-woong Cho",2016
La Haine,Mathieu Kassovitz,98,France,French,8.1,Crime,"135,363",24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Vincent Cassel, Hubert Kound√©, Sa√Ød Taghmaoui, Abdel Ahmed Ghili",1996
Gangs of Wasseypur,Anurag Kashyap,321,India,Hindi,8.2,Action,"71,829","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia",2012
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,224,India,Hindi,8.1,Adventure,"95,869",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,"Cary Elwes, Mandy Patinkin, Robin Wright",2001
The Princess Bride,Rob Reiner,98,USA,English,8.1,Adventure,"368,612","While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.","Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest",1987
PK,Rajkumar Hirani,153,India,Hindi,8.1,Comedy,"144,029",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.,"Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani",2014
Butch Cassidy and the Sundance Kid,George Roy Hill,110,USA,English,8.0,Biography,"191,378","Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","Paul Newman, Robert Redford, Katharine Ross, Strother Martin",1969
Before Sunset,Richard Linklater,80,USA,English,8.0,Drama,"214,604","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Ethan Hawke, Julie Delpy, Vernon Dobtcheff",2004
The Help,Tate Taylor,146,USA,English,8.1,Drama,"400,758","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",2011
Munna Bhai M.B.B.S.,Rajkumar Hirani,156,India,Hindi,8.1,Comedy,"67,338",A gangster sets out to fulfill his father's dream of becoming a doctor.,"Sunil Dutt, Sanjay Dutt, Arshad Warsi, Gracy Singh",2003
The Terminator,James Cameron,107,UK,English,8.0,Action,"752,397","In 1984, a human soldier is tasked to stop an indestructible cyborg killing machine, both sent from 2029, from executing a young woman, whose unborn son is the key to humanity's future salvation.","Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield",1984
Akira,Katsuhiro √îtomo,124,Japan,Japanese,8.1,Animation,"146,788",A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,"Mitsuo Iwata, Nozomu Sasaki, Mami Koyama",1988
In the Mood for Love,Kar-Wai Wong,98,Hong Kong,Cantonese,8.1,Drama,"109,860","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.","Maggie Cheung, Tony Chiu-Wai Leung, Ping Lam Siu, Tung Cho 'Joe' Cheung",2001
"Paris, Texas",Wim Wenders,145,USA,English,8.1,Drama,"77,993","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.","Harry Dean Stanton, Sam Berry, Bernhard Wicki, Dean Stockwell",1984
